datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.9177090265198 ,rms: 19.34225013317737
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.9074193237028361 ,rms: 25.450298336177276
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.912660849202144 ,rms: 24.200687833229999
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.9146079885189318 ,rms: 22.532981363746053
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.9148692857140661 ,rms: 21.4827386013412
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.9148335975206825 ,rms: 21.503323920918522
datetime: 2014-01-01 00:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.9147986271904056 ,rms: 21.334569835543586
datetime: 2014-01-01 00:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.9147814610729625 ,rms: 21.187047141574674
datetime: 2014-01-01 00:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.9147819720132206 ,rms: 21.128428282905087
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 6.0856508849842097 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 4.7221473395205971 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.5721712238190175 ,rms: 15.845510098463709
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.8926567163171599 ,rms: 27.792905863097438
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.8479707569252923 ,rms: 17.871954954441058
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.8381389784678825 ,rms: 14.902464767461572
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.8434570001167936 ,rms: 13.260824887859812
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.8454390099575297 ,rms: 13.243384482157103
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.8456897166091926 ,rms: 12.95620875482852
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.8456574914135873 ,rms: 12.880626979466555
datetime: 2014-01-01 00:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.8456226369922275 ,rms: 12.872184583325708
datetime: 2014-01-01 00:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.8456052523945798 ,rms: 12.848213673561954
datetime: 2014-01-01 00:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.8456057655884113 ,rms: 12.856023788666732
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 6.0855015651691851 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 4.5409851048367686 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.6271498716389328 ,rms: 15.574659771073311
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.9268380767855966 ,rms: 18.00447183618974
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.8883369421271201 ,rms: 23.409153900612012
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.8871089786142798 ,rms: 12.245002935042649
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.8925502135215053 ,rms: 10.134997398471885
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.8945649265003253 ,rms: 8.1449711311345876
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.8948583467299773 ,rms: 6.6641024272838738
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.8948389769713874 ,rms: 6.4998395413150947
datetime: 2014-01-01 00:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.8947982116264237 ,rms: 6.09994002681771
datetime: 2014-01-01 00:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.8947817783464576 ,rms: 6.0638278836679103
datetime: 2014-01-01 00:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.8947823604829939 ,rms: 6.0294198007726516
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 6.1775229244700691 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 4.5874489028186902 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.5609082783045185 ,rms: 19.311942220666189
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.8498301230394789 ,rms: 18.090614322392135
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.7884828042132579 ,rms: 21.262855231339387
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.7800804865344277 ,rms: 24.718898380208536
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.7856408854215635 ,rms: 26.737836501952053
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.7875983647616085 ,rms: 28.251985855999386
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.7878648762943294 ,rms: 28.244143570627859
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.787823676942212 ,rms: 28.607030165673017
datetime: 2014-01-01 00:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.7877890880415439 ,rms: 28.863631674413529
datetime: 2014-01-01 00:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.7877714969196097 ,rms: 28.89943284305652
datetime: 2014-01-01 00:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.787772052665189 ,rms: 28.967900808332011
datetime: 2014-01-01 01:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.170609464260731 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 4.0179368717738688 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.3732383351415711 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.6488958789073216 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.6540265220929138 ,rms: nan
